actor1,actor2,weight
"Christian Bale","Scarlett Johansson",1
"Hugh Jackman","Michael Caine",1
"Hugh Jackman","Scarlett Johansson",1
"Michael Caine","Scarlett Johansson",1
"Jack Nicholson","Leonardo DiCaprio",1
"Jack Nicholson","Mark Wahlberg",1
"Jack Nicholson","Matt Damon",1
"Leonardo DiCaprio","Mark Wahlberg",1
"Leonardo DiCaprio","Matt Damon",1
"Mark Wahlberg","Matt Damon",1
"Adrien Brody","Emilia Fox",1
"Adrien Brody","Frank Finlay",1
"Adrien Brody","Thomas Kretschmann",1
"Emilia Fox","Frank Finlay",1
"Emilia Fox","Thomas Kretschmann",1
"Frank Finlay","Thomas Kretschmann",1
"Connie Nielsen","Joaquin Phoenix",1
"Connie Nielsen","Oliver Reed",1
"Connie Nielsen","Russell Crowe",1
"Joaquin Phoenix","Oliver Reed",1
"Joaquin Phoenix","Russell Crowe",1
"Oliver Reed","Russell Crowe",1
"Beverly D'Angelo","Edward Furlong",1
"Beverly D'Angelo","Edward Norton",1
"Beverly D'Angelo","Jennifer Lien",1
"Edward Furlong","Edward Norton",1
"Edward Furlong","Jennifer Lien",1
"Edward Norton","Jennifer Lien",1
"Chazz Palminteri","Gabriel Byrne",1
"Chazz Palminteri","Kevin Spacey",1
"Chazz Palminteri","Stephen Baldwin",1
"Gabriel Byrne","Kevin Spacey",1
"Gabriel Byrne","Stephen Baldwin",1
"Kevin Spacey","Stephen Baldwin",1
"Danny Aiello","Gary Oldman",1
"Danny Aiello","Jean Reno",1
"Danny Aiello","Natalie Portman",1
"Gary Oldman","Jean Reno",1
"Gary Oldman","Natalie Portman",1
"Jean Reno","Natalie Portman",1
"James Earl Jones","Jeremy Irons",1
"James Earl Jones","Matthew Broderick",1
"James Earl Jones","Rob Minkoff",1
"Jeremy Irons","Matthew Broderick",1
"Jeremy Irons","Rob Minkoff",1
"Matthew Broderick","Rob Minkoff",1
"Arnold Schwarzenegger","Edward Furlong",1
"Arnold Schwarzenegger","Linda Hamilton",2
"Arnold Schwarzenegger","Robert Patrick",1
"Edward Furlong","Linda Hamilton",1
"Edward Furlong","Robert Patrick",1
"Linda Hamilton","Robert Patrick",1
"Antonella Attili","Enzo Cannavale",1
"Antonella Attili","Isa Danieli",1
"Antonella Attili","Philippe Noiret",1
"Enzo Cannavale","Isa Danieli",1
"Enzo Cannavale","Philippe Noiret",1
"Isa Danieli","Philippe Noiret",1
"Akemi Yamaguchi","Ayano Shiraishi",1
"Akemi Yamaguchi","Tsutomu Tatsumi",1
"Akemi Yamaguchi","Yoshiko Shinohara",1
"Ayano Shiraishi","Tsutomu Tatsumi",1
"Ayano Shiraishi","Yoshiko Shinohara",1
"Tsutomu Tatsumi","Yoshiko Shinohara",1
"Christopher Lloyd","Crispin Glover",1
"Christopher Lloyd","Lea Thompson",2
"Christopher Lloyd","Michael J. Fox",2
"Crispin Glover","Lea Thompson",1
"Crispin Glover","Michael J. Fox",1
"Lea Thompson","Michael J. Fox",2
"Charles Bronson","Claudia Cardinale",1
"Charles Bronson","Henry Fonda",1
"Charles Bronson","Jason Robards",1
"Claudia Cardinale","Henry Fonda",1
"Claudia Cardinale","Jason Robards",1
"Henry Fonda","Jason Robards",1
"Anthony Perkins","Janet Leigh",1
"Anthony Perkins","John Gavin",1
"Anthony Perkins","Vera Miles",1
"Janet Leigh","John Gavin",1
"Janet Leigh","Vera Miles",1
"John Gavin","Vera Miles",1
"Claude Rains","Humphrey Bogart",1
"Claude Rains","Ingrid Bergman",2
"Claude Rains","Paul Henreid",1
"Humphrey Bogart","Ingrid Bergman",1
"Humphrey Bogart","Paul Henreid",1
"Ingrid Bergman","Paul Henreid",1
"Charles Chaplin","Henry Bergman",2
"Charles Chaplin","Paulette Goddard",2
"Charles Chaplin","Tiny Sandford",1
"Henry Bergman","Paulette Goddard",1
"Henry Bergman","Tiny Sandford",1
"Paulette Goddard","Tiny Sandford",1
"Charles Chaplin","Florence Lee",1
"Charles Chaplin","Harry Myers",1
"Charles Chaplin","Virginia Cherrill",1
"Florence Lee","Harry Myers",1
"Florence Lee","Virginia Cherrill",1
"Harry Myers","Virginia Cherrill",1
"Boluwatife Treasure Bankole","Kawsar Al Haddad",1
"Boluwatife Treasure Bankole","Yordanos Shiferaw",1
"Boluwatife Treasure Bankole","Zain Al Rafeea",1
"Kawsar Al Haddad","Yordanos Shiferaw",1
"Kawsar Al Haddad","Zain Al Rafeea",1
"Yordanos Shiferaw","Zain Al Rafeea",1
"Erdem Can","Ismail Hacioglu",1
"Erdem Can","Kyung-jin Lee",1
"Erdem Can","Çetin Tekindor",1
"Ismail Hacioglu","Kyung-jin Lee",1
"Ismail Hacioglu","Çetin Tekindor",1
"Kyung-jin Lee","Çetin Tekindor",1
"Madhavan","Pushkar",1
"Madhavan","Shraddha Srinath",1
"Madhavan","Vijay Sethupathi",1
"Pushkar","Shraddha Srinath",1
"Pushkar","Vijay Sethupathi",1
"Shraddha Srinath","Vijay Sethupathi",1
"Aoi Yûki","Mone Kamishiraishi",1
"Aoi Yûki","Ryô Narita",1
"Aoi Yûki","Ryûnosuke Kamiki",1
"Mone Kamishiraishi","Ryô Narita",1
